Rank,POS,PLAYER,AllStar,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,_PPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile
398,SF,Furkan Korkmaz,0,6,Spot-Up Wings,No,Philadelphia 76ers,2.3,0.963,0.643,-0.32,-0.7,2.2,1.5,382,20,0.3,1.8,1.8,319,34,0.5,-0.3,-1.1,-6.3,17.1
222,SF,Wesley Iwundu,0,39,Reluctant Shooters,No,Orlando Magic,3.8,1.011,0.905,-0.107,-0.4,3.8,3.4,294,39,-0.2,4.3,4,159,67,-0.5,-0.6,-0.2,-7.1,53.8
211,PF,Markieff Morris,0,48,Versatile Bigs,No,Washington Wizards,11.2,0.973,0.966,-0.007,-0.1,10.9,10.8,214,55,0.1,9.4,9.6,263,45,1.5,1.2,-0.1,-7.2,56
313,SF,Antonius Cleveland,0,13,Spot-Up Wings,No,Dallas Mavericks,1.4,1.025,0.556,-0.47,-0.7,1.4,0.8,354,26,-0.1,2.5,2.5,206,57,-1.1,-1.7,-0.6,-7.5,34.8
306,C,Omer Asik,0,14,Roll-and-Cut Bigs,No,Chicago Bulls,1.9,1.032,0.667,-0.365,-0.7,2,1.3,369,23,-0.2,4.6,4.6,178,63,-2.6,-3.3,-0.6,-7.7,36.3
228,PF,Aaron Gordon,0,39,Glue Guys,No,Orlando Magic,18.7,0.987,0.982,-0.005,-0.1,18.5,18.4,220,54,0.1,9.2,9.2,268,44,9.2,9.2,-0.2,-7.6,52.5
322,SG,Lorenzo Brown,0,12,Distributors,No,Toronto Raptors,1.8,0.942,0.636,-0.306,-0.6,1.7,1.2,337,30,0.1,2.6,2.7,262,45,-0.9,-1.5,-0.6,-7.6,32.9
250,SF,C.J. Williams,0,28,Spot-Up Wings,No,Los Angeles Clippers,6.1,0.99,0.976,-0.013,-0.1,6,5.9,215,55,0.2,6.4,6.8,287,40,-0.4,-0.9,-0.3,-7.8,47.9
446,SG,Vander Blue,0,5,Stretch Bigs,No,Los Angeles Lakers,1.8,0.998,0.333,-0.664,-1.2,1.8,0.6,442,8,0.4,2.2,2.6,337,30,-0.4,-2,-1.6,-7.8,7.1
386,C,Tony Bradley,0,8,Parasitic Bigs,No,Utah Jazz,1.5,1.097,0.667,-0.43,-0.6,1.6,1,353,26,0.3,2.8,3,326,32,-1.2,-2,-1,-7.9,19.6
216,SG,Sindarius Thornwell,0,49,Stretch Bigs,Yes,Los Angeles Clippers,3.6,0.987,0.893,-0.095,-0.3,3.6,3.2,278,42,-0.2,5,4.9,169,65,-1.4,-1.7,-0.2,-7.9,55
215,PF,James Johnson,0,50,Glue Guys,No,Miami Heat,11.5,0.947,0.913,-0.034,-0.4,10.9,10.5,292,39,-0.2,8.5,8.4,154,68,2.4,2,-0.2,-8.1,55.2
213,SG,Tony Snell,0,51,Spot-Up Wings,No,Milwaukee Bucks,6.6,0.995,1.088,0.094,0.6,6.6,7.2,82,83,0.8,6.7,6.6,417,13,-0.1,0.6,-0.2,-8.2,55.6
261,SF,Nik Stauskas,0,25,Glue Guys,No,Brooklyn Nets,5.8,0.961,0.945,-0.016,-0.1,5.6,5.5,216,55,0.3,3.3,3.5,304,37,2.3,2,-0.4,-9,45.6
344,PG,Patrick Beverly,0,11,Distributors,No,Los Angeles Clippers,13.8,0.929,0.882,-0.048,-0.7,12.8,12.2,360,25,0.1,10.7,10.9,269,44,2.1,1.3,-0.8,-8.4,28.3
320,PG,Iman Shumpert,0,14,Secondary Creators,No,Sacramento Kings,5.6,0.937,0.785,-0.152,-0.9,5.3,4.4,402,16,-0.2,7.7,7.7,153,68,-2.4,-3.3,-0.6,-8.7,33.3
217,SG,Jodie Meeks,0,54,Off-Ball Workers,No,Washington Wizards,6.1,0.987,0.958,-0.029,-0.2,6.1,5.9,235,51,0,4.3,3.7,216,55,1.8,2.2,-0.2,-8.7,54.8
239,PG,Shane Larkin,0,37,Distributors,No,Boston Celtics,4.1,0.914,0.855,-0.059,-0.2,3.8,3.5,253,47,0,3.9,4,223,54,-0.2,-0.5,-0.2,-8.8,50.2
330,C,Cole Aldrich,0,13,Post-Up Bigs,No,Minnesota Timberwolves,0.9,0.988,0.667,-0.322,-0.3,0.9,0.6,266,45,0.4,1.5,1.5,338,30,-0.6,-0.9,-0.7,-8.8,31.3
363,PG,Elfrid Payton,0,47,Distributors,No,Phoenix Suns,14.5,0.944,0.931,-0.013,-0.2,13.7,13.5,236,51,0.7,1.9,1.8,400,17,11.8,11.7,-0.8,-39.4,24.4
393,PF,Alec Peters,0,9,Stretch Bigs,Yes,Phoenix Suns,3,1.005,0.556,-0.449,-1.3,3,1.7,454,5,-0.3,2,2,135,72,1,-0.3,-1,-9.3,18.1
230,SF,Rondae Hollis-Jefferson,0,46,Versatile Bigs,No,Brooklyn Nets,14.7,1.004,0.978,-0.027,-0.4,14.7,14.3,289,40,-0.2,10.2,10.4,168,65,4.5,4,-0.2,-9.3,52.1
224,C,Nikola Jokic,0,50,Versatile Bigs,No,Denver Nuggets,16.9,0.98,0.98,0,0,16.6,16.6,194,60,0.2,13.4,14.1,282,41,3.2,2.5,-0.2,-9.3,53.3
226,SF,Luke Kennard,0,50,Off-Ball Workers,Yes,Detroit Pistons,7.1,0.952,0.938,-0.014,-0.1,6.8,6.7,219,54,0.1,5.2,5.1,267,44,1.6,1.6,-0.2,-9.6,52.9
464,SG,Jamel Artis,0,5,Point Forwards,No,Orlando Magic,3.8,0.99,0.474,-0.516,-2,3.8,1.8,472,2,0,2.8,2.8,224,53,0.9,-1,-2,-9.8,3.3
282,C,Khem Birch,0,21,Unskilled Bigs,Yes,Orlando Magic,3.8,1.076,0.925,-0.151,-0.6,4.1,3.5,343,29,-0.1,5.6,5.4,191,60,-1.5,-1.9,-0.5,-9.8,41.3
292,PF,Juan Hernangomez,0,20,Stretch Bigs,No,Denver Nuggets,3.5,1.013,0.914,-0.099,-0.3,3.5,3.2,279,42,0.2,4.6,4.5,277,42,-1,-1.3,-0.5,-10,39.2
336,G,Zach LaVine,0,14,Rock Pounders,No,Chicago Bulls,17.9,0.927,0.936,0.009,0.2,16.6,16.8,149,69,0.9,4.9,5.3,429,11,11.8,11.5,-0.7,-10,30
347,PG,Ramon Sessions,0,13,Rock Pounders,No,New York Knicks,5.8,0.868,0.64,-0.228,-1.3,5,3.7,449,6,-0.5,3.9,3.2,98,80,1.1,0.5,-0.8,-10.1,27.7
237,SF,Treveon Graham,0,44,Stretch Bigs,No,Charlotte Hornets,4.9,0.984,1.009,0.025,0.1,4.8,4.9,157,67,0.4,5.6,5.8,330,31,-0.7,-0.9,-0.2,-10.1,50.6
220,C,Domantas Sabonis,0,56,Parasitic Bigs,No,Indiana Pacers,12.5,1.035,0.967,-0.068,-0.8,13,12.1,401,16,-0.7,9.1,8.8,79,84,3.9,3.3,-0.2,-10.1,54.2
367,PG,Demetrius Jackson,0,12,Glue Guys,No,Houston Rockets,2,0.91,0.333,-0.576,-1.2,1.8,0.7,438,9,-0.3,2.6,2.2,137,71,-0.8,-1.5,-0.9,-10.3,23.5
171,C,Tyler Zeller,0,46,Parasitic Bigs,No,Milwaukee Bucks,6.7,1.07,1.036,-0.034,-0.2,7.2,7,249,48,-0.4,2.4,2.4,123,74,4.8,4.6,0.1,6.1,64.4
371,SG,Antonio Blakeney,0,12,Glue Guys,Yes,Chicago Bulls,8.3,0.955,0.828,-0.127,-1,7.9,6.8,429,11,-0.2,4.8,4.7,175,64,3.1,2.2,-0.9,-10.6,22.7
361,PG,Briante Weber,0,13,Distributors,No,Houston Rockets,2.3,0.968,0.867,-0.101,-0.2,2.2,2,250,48,0.6,3,3.7,382,20,-0.8,-1.7,-0.8,-10.7,24.8
184,PF,Noah Vonleh,0,34,Bigs-with-Touch,No,Chicago Bulls,3.7,1.056,0.968,-0.087,-0.3,3.9,3.6,273,43,-0.4,4.5,4.5,128,73,-0.6,-0.9,0,1.1,61.7
340,SG,Gary Payton II,0,16,Reluctant Shooters,No,Milwaukee Bucks,3.1,1.033,0.8,-0.233,-0.7,3.2,2.5,375,22,0,1.8,1.8,242,50,1.4,0.7,-0.8,-12,29.2
236,PF,DeMarre Carroll,0,54,Spot-Up Wings,No,Brooklyn Nets,13.8,0.994,0.961,-0.033,-0.4,13.7,13.3,308,36,-0.2,8.8,9,156,68,4.9,4.3,-0.2,-12.1,50.8
335,C,Ivica Zubac,0,17,Post-Up Bigs,No,Los Angeles Lakers,1.8,0.984,0.677,-0.307,-0.6,1.8,1.2,334,30,0.2,2.1,2,278,42,-0.3,-0.8,-0.7,-12.2,30.2
342,SF,Richard Jefferson,0,16,Reluctant Shooters,No,Denver Nuggets,2,1.046,0.813,-0.233,-0.5,2.1,1.6,313,35,0.3,2.9,3.3,314,35,-0.8,-1.6,-0.8,-12.2,28.8
290,SG,Jason Terry,0,25,Spot-Up Wings,No,Milwaukee Bucks,2.6,0.965,0.908,-0.058,-0.1,2.5,2.4,229,52,0.3,2.5,2.9,325,32,0,-0.6,-0.5,-12.3,39.6
331,SG,Tyrone Wallace,0,18,Glue Guys,No,Los Angeles Clippers,10.3,1.01,0.935,-0.074,-0.8,10.4,9.6,386,20,-0.1,9.5,9.6,204,58,0.9,0.1,-0.7,-12.4,31
309,PF,Guerschon Yabusele,0,22,Pick and Pop Bigs,Yes,Boston Celtics,2,1.02,0.907,-0.113,-0.2,2,1.8,244,49,0.3,1.9,2.2,327,32,0.1,-0.5,-0.6,-12.4,35.6
247,C,Kevon Looney,0,47,Unskilled Bigs,No,Golden State Warriors,3.1,1.084,0.986,-0.098,-0.3,3.3,3,267,44,0,5.3,5.3,212,56,-2,-2.2,-0.3,-12.5,48.5
349,SF,Danuel House,0,16,Spot-Up Wings,No,Phoenix Suns,4.9,1.002,0.937,-0.065,-0.3,4.9,4.6,271,44,0.5,4.6,5.1,357,26,0.3,-0.4,-0.8,-12.5,27.3
273,PF,Cheick Diallo,0,30,Bigs-with-Touch,No,New Orleans Pelicans,3.5,1.061,1.087,0.025,0.1,3.7,3.8,164,66,0.5,3.5,4.1,370,23,0.2,-0.4,-0.4,-12.6,43.1
256,SF,Tim Hardaway Jr.,0,38,Secondary Creators,No,New York Knicks,17.2,0.963,0.943,-0.02,-0.3,16.5,16.2,277,42,0,8.9,8.9,225,53,7.7,7.3,-0.3,-12.7,46.7
