Rank,POS,PLAYER,AllStar,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,_PPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile
403,PG,Dejounte Murray,0,58,Distributors,No,San Antonio Spurs,9.1,0.959,0.779,-0.18,-1.6,8.7,7.1,463,4,-0.6,7.1,7.4,93,81,1.7,-0.3,-1.1,-63.1,16
405,C,Thon Maker,0,56,Pick and Pop Bigs,No,Milwaukee Bucks,5.6,1.03,0.895,-0.135,-0.8,5.8,5,385,20,0.4,3.9,3.9,336,30,1.8,1.1,-1.1,-63.1,15.6
417,SG,Malcom Delaney,0,51,Distributors,No,Atlanta Hawks,7.4,0.924,0.837,-0.087,-0.6,6.8,6.2,351,27,0.6,5.9,6.1,390,19,0.9,0,-1.3,-64.1,13.1
444,C,Zach Collins,0,42,Bigs-with-Touch,Yes,Portland Trail Blazers,5.2,0.982,0.761,-0.22,-1.1,5.1,4,437,9,0.4,6,6.2,340,29,-0.9,-2.3,-1.5,-64.1,7.5
418,PF,Marquese Chriss,0,51,Pick and Pop Bigs,No,Phoenix Suns,8.4,0.987,0.816,-0.171,-1.4,8.3,6.9,458,5,-0.2,7.6,7.7,171,64,0.7,-0.9,-1.3,-64.3,12.9
416,PF,Quincy Acy,0,52,Pick and Pop Bigs,No,Brooklyn Nets,6.9,1.004,0.857,-0.147,-1,6.9,5.9,423,12,0.2,7.6,8.2,297,38,-0.7,-2.3,-1.3,-65.3,13.3
445,PG,Rajon Rondo,0,43,Distributors,No,New Orleans Pelicans,9.2,0.921,0.808,-0.113,-1,8.5,7.4,428,11,0.5,7.1,7.1,367,24,1.3,0.3,-1.5,-66,7.3
441,PG,Michael Carter-Williams,0,45,Secondary Creators,No,Charlotte Hornets,5.8,0.926,0.721,-0.205,-1.2,5.4,4.2,441,8,0.3,5.9,6.2,316,34,-0.5,-2,-1.5,-67.1,8.1
428,SG,Ian Clark,0,51,Spot-Up Wings,No,New Orleans Pelicans,6.4,0.992,0.875,-0.117,-0.7,6.4,5.6,383,20,0.6,4.8,4.7,385,20,1.6,1,-1.3,-68.4,10.8
421,PF,Kyle Kuzma,0,55,Pick and Pop Bigs,Yes,Los Angeles Lakers,16.1,1.014,0.971,-0.044,-0.7,16.3,15.6,370,23,0.6,8.4,8.5,378,21,8,7.1,-1.3,-70,12.3
420,PG,Jamal Murray,0,56,Secondary Creators,No,Denver Nuggets,16,0.94,1.004,0.065,1,15.1,16.1,48,90,2.3,6.9,8.6,480,0,8.2,7.5,-1.3,-71.2,12.5
459,PG,Jawun Evans,0,38,Glue Guys,No,Los Angeles Clippers,8,0.941,0.713,-0.228,-1.8,7.5,5.7,469,2,0.1,6.5,6.6,258,46,1,-0.9,-1.9,-71.4,4.4
457,SG,Jerryd Bayless,0,40,Spot-Up Wings,No,Philadelphia 76ers,8.2,0.998,0.936,-0.062,-0.5,8.2,7.7,325,32,1.3,7.8,8.6,464,3,0.4,-0.9,-1.8,-71.9,4.8
449,SG,Nicolas Batum,0,43,Secondary Creators,No,Charlotte Hornets,13.5,0.93,0.861,-0.069,-0.9,12.6,11.7,416,13,0.7,7.6,8.2,411,14,5,3.5,-1.7,-71.9,6.5
422,C,Bismack Biyombo,0,57,Unskilled Bigs,No,Orlando Magic,6.2,1.053,0.944,-0.109,-0.7,6.6,5.9,363,24,0.6,8.8,8.9,389,19,-2.2,-3,-1.3,-73.3,12.1
467,SG,Avery Bradley,0,46,Off-Ball Workers,No,Los Angeles Clippers,16.5,0.967,0.863,-0.104,-1.7,16,14.2,464,3,0.3,4.5,4.4,328,32,11.5,9.8,-2.1,-94.9,2.7
432,SG,Jonathon Simmons,0,56,Distributors,No,Orlando Magic,14.6,0.941,0.941,0,0,13.7,13.7,193,60,1.4,8.4,8.7,468,3,5.3,5,-1.4,-77.1,10
442,SG,Garrett Temple,0,53,Glue Guys,No,Sacramento Kings,9.3,0.967,0.897,-0.07,-0.7,9,8.4,356,26,0.8,8.1,8.8,426,11,0.9,-0.4,-1.5,-79.5,7.9
438,SG,JR Smith,0,55,Glue Guys,No,Cleveland Cavaliers,8.7,0.967,0.962,-0.005,0,8.4,8.3,203,58,1.4,9,9.9,469,2,-0.6,-1.5,-1.5,-80.3,8.8
440,PG,Frank Ntilikina,0,56,Distributors,Yes,New York Knicks,7.9,0.884,0.662,-0.221,-1.7,7,5.2,465,3,-0.3,6.3,5.8,143,70,0.6,-0.5,-1.5,-82.2,8.3
471,PF,JaMychal Green,0,36,Reluctant Shooters,No,Memphis Grizzlies,10.6,1.035,0.935,-0.101,-1.1,11,9.9,432,10,1.3,8.7,9.1,463,4,2.3,0.8,-2.4,-84.7,1.9
456,SF,Paul Zipser,0,48,Spot-Up Wings,No,Chicago Bulls,5.2,0.966,0.755,-0.211,-1.1,5,3.9,434,10,0.7,5.5,6,409,15,-0.5,-2.1,-1.8,-85.2,5
469,PG,Kris Dunn,0,41,Rock Pounders,No,Chicago Bulls,16.9,0.904,0.797,-0.107,-1.8,15.3,13.5,468,3,0.3,10.2,10.6,312,35,5.1,2.9,-2.1,-86,2.3
450,C,Willie Cauley-Stein,0,52,Versatile Bigs,No,Sacramento Kings,13.3,1.001,0.93,-0.07,-0.9,13.3,12.3,414,14,0.7,11.3,11.8,413,14,2,0.5,-1.7,-87,6.3
458,PF,Zach Randolph,0,49,Versatile Bigs,No,Sacramento Kings,15.6,0.952,0.941,-0.011,-0.2,14.8,14.6,234,51,1.6,10.9,11.4,473,1,3.9,3.2,-1.8,-88.3,4.6
451,PF,Frank Kaminsky,0,54,Pick and Pop Bigs,No,Charlotte Hornets,11,0.99,0.951,-0.039,-0.4,10.9,10.4,302,37,1.3,8.1,9.1,460,4,2.8,1.4,-1.7,-90.8,6
447,SF,Andrew Wiggins,0,60,Secondary Creators,No,Minnesota Timberwolves,19.3,0.954,0.914,-0.04,-0.8,18.4,17.6,387,19,0.8,11.3,11.4,424,12,7.1,6.2,-1.6,-96,6.9
452,PF,Dragan Bender,0,59,Stretch Bigs,No,Phoenix Suns,7,0.994,0.88,-0.115,-0.8,7,6.2,394,18,0.9,9,9.1,431,10,-2,-2.9,-1.7,-101,5.8
454,SF,Lance Stephenson,0,58,Distributors,No,Indiana Pacers,10.8,0.93,0.861,-0.069,-0.7,10,9.3,381,21,1,3.6,3.8,445,7,6.4,5.5,-1.7,-101.4,5.4
470,PG,Jarrett Jack,0,57,Rock Pounders,No,New York Knicks,9.8,0.886,0.777,-0.109,-1.1,8.6,7.6,430,10,1,8.6,9.7,448,7,0,-2.1,-2.1,-119.7,2.1
476,SF,Caris LeVert,0,50,Distributors,No,Brooklyn Nets,13.5,0.936,0.861,-0.075,-1,12.6,11.6,424,12,1.6,10.1,11.5,472,2,2.6,0.2,-2.6,-131.2,0.8
474,PG,Tyler Ulis,0,56,Rock Pounders,No,Phoenix Suns,9.1,0.899,0.739,-0.16,-1.5,8.2,6.7,461,4,1,7.2,8,446,7,1,-1.3,-2.5,-137.8,1.3
473,SF,Taurean Prince,0,59,Glue Guys,No,Atlanta Hawks,13.5,0.976,0.897,-0.079,-1.1,13.2,12.1,431,10,1.3,8.6,9.5,465,3,4.6,2.7,-2.4,-140.4,1.5
478,PG,De Aaron Fox,0,50,Distributors,No,Sacramento Kings,14.2,0.931,0.791,-0.14,-2,13.2,11.2,473,1,1.7,9.3,10.2,474,1,3.9,1,-3.7,-185.9,0.4
477,SF,Josh Jackson,0,57,Glue Guys,Yes,Phoenix Suns,13.6,0.983,0.818,-0.165,-2.2,13.4,11.1,477,1,1.3,7.9,8.5,461,4,5.5,2.6,-3.5,-200.7,0.6
479,PG,Dennis Smith Jr.,0,50,Creators,Yes,Dallas Mavericks,18.4,0.92,0.806,-0.114,-2.1,16.9,14.8,474,1,2,9.8,11,478,0,7.2,3.8,-4.1,-207.1,0.2
