,,Data last updated:,,,2/15/2018 5:21 PM EDT,,,,Offensive Possessions Per Game,Expected Points Per Possession,Actual Points Per Possession,Change in Points Per Possession,Created Points Over Expectation,Expected Points per Game,Actual Points per Game,CPOE Rank,CPOE %ile,Total Defensive Points Over Expectation,Expected Points Against per Game,Actual Points Against per Game,DPOE Rank,tDPOE %ile,Expected Plus Minus per Game,Actual Plus Minus per Game,Points Over Expectation,Season POE,POE Percentile,
Rank,POS,PLAYER,,,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,ΔPPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile,
384,PG,Milos Teodosic,"Milos Teodosic,Los Angeles Clippers",",",27,Distributors,Yes,Los Angeles Clippers,11.0,0.910,0.838,-0.072,-0.8,10.0,9.2,391,19%,0.2,7.9,8.3,285,41%,2.0,0.9,-1.0,-26.4,20.0%,PG
461,C,Zhou Qi,"Zhou Qi,Houston Rockets",",",14,Stretch Bigs,Yes,Houston Rockets,2.4,1.010,0.500,-0.510,-1.2,2.5,1.2,445,7%,0.7,2.0,2.8,401,16%,0.4,-1.6,-1.9,-26.5,4.0%,C
349,SF,Dwayne Bacon,"Dwayne Bacon,Charlotte Hornets",",",35,Spot-Up Wings,Yes,Charlotte Hornets,3.9,0.948,0.745,-0.203,-0.8,3.7,2.9,393,18%,0.0,4.7,4.7,218,55%,-1.0,-1.7,-0.8,-27.3,27.3%,SF
301,PF,Michael Beasley,"Michael Beasley,New York Knicks",",",52,Ball Stoppers,No,New York Knicks,13.5,0.969,0.957,-0.012,-0.2,13.0,12.9,231,52%,0.4,5.7,5.8,333,31%,7.4,7.0,-0.5,-27.4,37.3%,PF
296,SG,Alex Abrines,"Alex Abrines,Oklahoma City Thunder",",",53,Spot-Up Wings,No,Oklahoma City Thunder,4.8,0.984,1.012,0.028,0.1,4.7,4.8,153,68%,0.6,4.7,5.0,399,17%,-0.1,-0.2,-0.5,-27.3,38.3%,SG
399,SF,Torrey Craig,"Torrey Craig,Denver Nuggets",",",26,Reluctant Shooters,No,Denver Nuggets,4.5,1.048,0.940,-0.108,-0.5,4.7,4.2,317,34%,0.6,6.3,6.8,380,21%,-1.5,-2.6,-1.1,-27.6,16.9%,SF
307,PF,Mario Hezonja,"Mario Hezonja,Orlando Magic",",",50,Spot-Up Wings,No,Orlando Magic,8.7,0.992,1.000,0.008,0.1,8.6,8.7,170,65%,0.6,6.9,7.3,393,18%,1.7,1.4,-0.6,-27.8,36.0%,PF
315,SF,Maurice Harkless,"Maurice Harkless,Portland Trail Blazers",",",47,Reluctant Shooters,No,Portland Trail Blazers,5.9,1.004,0.949,-0.055,-0.3,5.9,5.6,270,44%,0.3,6.4,6.6,304,37%,-0.5,-1.0,-0.6,-27.7,34.4%,SF
434,SG,Wayne Selden,"Wayne Selden,Memphis Grizzlies",",",20,Secondary Creators,No,Memphis Grizzlies,9.7,0.951,0.856,-0.096,-0.9,9.2,8.3,413,14%,0.5,5.5,6.1,361,25%,3.7,2.2,-1.4,-28.0,9.6%,SG
350,C,Tristan Thompson,"Tristan Thompson,Cleveland Cavaliers",",",36,Unskilled Bigs,No,Cleveland Cavaliers,5.6,1.075,1.089,0.014,0.1,6.1,6.1,166,65%,0.9,9.6,10.3,427,11%,-3.5,-4.2,-0.8,-28.1,27.1%,C
397,C,Timofey Mozgov,"Timofey Mozgov,Brooklyn Nets",",",27,Bigs-with-Touch,No,Brooklyn Nets,4.6,1.030,0.904,-0.126,-0.6,4.8,4.2,344,28%,0.5,7.5,7.7,359,25%,-2.7,-3.5,-1.0,-28.3,17.3%,C
291,SF,PJ Tucker,"PJ Tucker,Houston Rockets",",",57,Stretch Bigs,No,Houston Rockets,6.1,0.993,0.913,-0.080,-0.5,6.0,5.5,316,34%,0.0,8.5,8.8,237,51%,-2.5,-3.3,-0.5,-28.4,39.4%,SF
294,SF,Denzel Valentine,"Denzel Valentine,Chicago Bulls",",",57,Secondary Creators,No,Chicago Bulls,10.5,0.949,0.928,-0.021,-0.2,10.0,9.8,246,49%,0.3,7.7,7.7,309,36%,2.3,2.0,-0.5,-28.6,38.8%,SF
298,SF,TJ Warren,"TJ Warren,Phoenix Suns",",",56,Reluctant Shooters,No,Phoenix Suns,18.9,1.000,1.014,0.014,0.3,18.9,19.2,129,73%,0.8,8.1,8.1,419,13%,10.9,11.2,-0.5,-28.9,37.9%,SF
302,C,Marc Gasol,"Marc Gasol,Memphis Grizzlies",",",55,Versatile Bigs,No,Memphis Grizzlies,19.5,0.977,0.887,-0.090,-1.8,19.0,17.3,467,3%,-1.2,13.6,12.6,32,93%,5.4,4.7,-0.5,-29.1,37.1%,C
413,SF,Malachi Richardson,"Malachi Richardson,Sacramento Kings",",",25,Spot-Up Wings,No,Sacramento Kings,4.4,0.975,0.800,-0.175,-0.8,4.3,3.5,388,19%,0.5,3.4,3.8,355,26%,0.9,-0.3,-1.2,-30.5,14.0%,SF
318,SF,Michael Kidd-Gilchrist,"Michael Kidd-Gilchrist,Charlotte Hornets",",",50,Reluctant Shooters,No,Charlotte Hornets,9.7,1.029,1.002,-0.027,-0.3,10.0,9.7,257,46%,0.4,10.4,11.2,332,31%,-0.4,-1.5,-0.6,-30.8,33.8%,SF
388,SF,Shabazz Muhammad,"Shabazz Muhammad,Minnesota Timberwolves",",",31,Point Forwards,No,Minnesota Timberwolves,4.4,1.023,0.853,-0.170,-0.7,4.5,3.7,380,21%,0.3,2.1,2.0,298,38%,2.3,1.7,-1.0,-30.9,19.2%,SF
316,SF,Josh Huestis,"Josh Huestis,Oklahoma City Thunder",",",53,Stretch Bigs,No,Oklahoma City Thunder,3.1,1.020,0.705,-0.315,-1.0,3.2,2.2,421,12%,-0.4,5.0,4.7,120,75%,-1.8,-2.5,-0.6,-31.6,34.2%,SF
314,SG,Allen Crabbe,"Allen Crabbe,Brooklyn Nets",",",55,Off-Ball Workers,No,Brooklyn Nets,12.6,0.976,0.983,0.006,0.1,12.3,12.3,165,66%,0.7,7.8,7.7,403,16%,4.5,4.6,-0.6,-32.0,34.6%,SG
462,G,Isaiah Thomas,"Isaiah Thomas,Los Angeles Lakers",",",17,Distributors,No,Los Angeles Lakers,16.8,0.910,0.853,-0.057,-1.0,15.3,14.4,419,13%,1.0,3.0,2.7,439,9%,12.3,11.6,-1.9,-32.6,3.8%,G
389,SF,Joe Johnson,"Joe Johnson,Houston Rockets",",",33,Ball Stoppers,No,Houston Rockets,8.5,0.950,0.860,-0.089,-0.8,8.0,7.3,384,20%,0.2,2.1,2.1,296,38%,5.9,5.2,-1.0,-33.1,19.0%,SF
372,C,Joffrey Lauvergne,"Joffrey Lauvergne,San Antonio Spurs",",",38,Roll-and-Cut Bigs,No,San Antonio Spurs,4.8,1.018,0.902,-0.116,-0.6,4.9,4.4,339,29%,0.3,4.5,4.8,323,33%,0.4,-0.4,-0.9,-33.5,22.5%,C
333,SF,Malik Beasley,"Malik Beasley,Denver Nuggets",",",48,Spot-Up Wings,No,Denver Nuggets,3.7,1.008,0.860,-0.148,-0.6,3.7,3.2,331,31%,0.1,2.3,2.6,275,43%,1.4,0.6,-0.7,-33.6,30.6%,SF
