,,Data last updated:,,,2/15/2018 5:21 PM EDT,,,,Offensive Possessions Per Game,Expected Points Per Possession,Actual Points Per Possession,Change in Points Per Possession,Created Points Over Expectation,Expected Points per Game,Actual Points per Game,CPOE Rank,CPOE %ile,Total Defensive Points Over Expectation,Expected Points Against per Game,Actual Points Against per Game,DPOE Rank,tDPOE %ile,Expected Plus Minus per Game,Actual Plus Minus per Game,Points Over Expectation,Season POE,POE Percentile,
Rank,POS,PLAYER,,,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,ΔPPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile,
1,PF,Anthony Davis,"Anthony Davis,New Orleans Pelicans",",",51,Versatile Bigs,No,New Orleans Pelicans,24.0,0.997,1.131,0.133,3.2,23.9,27.1,6,99%,-2.9,9.2,8.6,1,100%,14.7,18.5,6.1,309.2,99.8%,PF
2,SG,Jimmy Butler,"Jimmy Butler,Minnesota Timberwolves",",",54,Creators,No,Minnesota Timberwolves,20.5,0.926,1.074,0.148,3.0,19.0,22.1,8,98%,-1.8,10.4,9.8,13,97%,8.7,12.2,4.8,260.6,99.6%,SG
188,PF,DJ Wilson,"DJ Wilson,Milwaukee Bucks",",",0,Glue Guys,No,Milwaukee Bucks,Milwaukee Bucks,0.0,0.0,0.0,0.0,0.0,#DIV/0!,186,-,0.0,0.0,0.0,227,-,0.0,#DIV/0!,0.0,0.0,-,PF
188,SF,Royce O'Neale,"Royce O'Neale,Utah Jazz",",",0,Glue Guys,No,Utah Jazz,Utah Jazz,0.0,0.0,0.0,0.0,0.0,#DIV/0!,186,-,0.0,0.0,0.0,227,-,0.0,#DIV/0!,0.0,0.0,-,SF
3,PF,Giannis Antetokounmpo,"Giannis Antetokounmpo,Milwaukee Bucks",",",52,Point Forwards,No,Milwaukee Bucks,25.6,0.983,1.069,0.086,2.2,25.2,27.4,12,98%,-2.4,9.7,8.7,5,99%,15.5,18.7,4.6,237.0,99.4%,PF
8,C,Karl-Anthony Towns,"Karl-Anthony Towns,Minnesota Timberwolves",",",60,Versatile Bigs,No,Minnesota Timberwolves,17.6,0.993,1.154,0.161,2.8,17.4,20.3,9,98%,-0.9,11.9,11.9,46,90%,5.5,8.4,3.8,225.5,98.3%,C
4,SG,James Harden,"James Harden,Houston Rockets",",",50,Creators,No,Houston Rockets,29.0,0.894,1.064,0.170,4.9,25.9,30.8,1,100%,0.4,11.9,11.8,353,26%,14.0,19.0,4.5,223.7,99.2%,SG
7,SG,Victor Oladipo,"Victor Oladipo,Indiana Pacers",",",52,Distributors,No,Indiana Pacers,23.4,0.935,1.034,0.099,2.3,21.9,24.2,11,98%,-1.6,11.3,10.6,18,96%,10.6,13.6,4.0,205.7,98.5%,SG
5,PG,Stephen Curry,"Stephen Curry,Golden State Warriors",",",43,Secondary Creators,No,Golden State Warriors,22.7,0.946,1.147,0.201,4.6,21.5,26.1,2,100%,0.2,10.2,9.7,293,39%,11.3,16.4,4.3,186.3,99.0%,PG
9,PF,Kevin Durant,"Kevin Durant,Golden State Warriors",",",50,Point Forwards,No,Golden State Warriors,23.0,0.963,1.118,0.156,3.6,22.1,25.7,3,99%,0.3,9.3,9.4,320,33%,12.8,16.3,3.3,163.5,98.1%,PF
6,PG,Chris Paul,"Chris Paul,Houston Rockets",",",39,Creators,No,Houston Rockets,17.7,0.889,1.065,0.176,3.1,15.7,18.8,7,99%,-0.9,9.4,9.5,49,90%,6.3,9.3,4.0,157.5,98.8%,PG
10,PG,Damian Lillard,"Damian Lillard,Portland Trail Blazers",",",51,Rock Pounders,No,Portland Trail Blazers,24.5,0.899,1.044,0.145,3.6,22.1,25.6,4,99%,0.6,11.2,11.4,376,22%,10.8,14.2,3.0,152.3,97.9%,PG
13,C,Al Horford,"Al Horford,Boston Celtics",",",54,Versatile Bigs,No,Boston Celtics,13.2,0.972,0.996,0.024,0.3,12.9,13.2,121,75%,-2.4,13.0,12.1,4,99%,-0.1,1.1,2.7,148.1,97.3%,C
12,C,DeAndre Jordan,"DeAndre Jordan,Los Angeles Clippers",",",51,Unskilled Bigs,No,Los Angeles Clippers,10.7,1.020,1.097,0.078,0.8,10.9,11.7,63,87%,-2.0,11.9,11.6,7,99%,-1.1,0.1,2.8,144.3,97.5%,C
14,PG,Kyrie Irving,"Kyrie Irving,Boston Celtics",",",53,Secondary Creators,No,Boston Celtics,22.5,0.928,1.079,0.151,3.4,20.9,24.3,5,99%,0.7,9.8,9.7,410,15%,11.1,14.6,2.7,142.3,97.1%,PG
15,C,Clint Capela,"Clint Capela,Houston Rockets",",",52,Parasitic Bigs,No,Houston Rockets,12.4,1.075,1.164,0.089,1.1,13.4,14.5,45,91%,-1.5,11.7,11.4,21,96%,1.6,3.1,2.6,135.9,96.9%,C
20,F,Jayson Tatum,"Jayson Tatum,Boston Celtics",",",59,Glue Guys,Yes,Boston Celtics,12.8,0.981,1.054,0.073,0.9,12.6,13.5,54,89%,-1.2,7.8,7.3,35,93%,4.8,6.2,2.1,125.8,95.8%,F
18,SG,Gary Harris,"Gary Harris,Denver Nuggets",",",53,Glue Guys,No,Denver Nuggets,16.3,0.971,1.058,0.087,1.4,15.8,17.2,31,94%,-0.9,9.6,8.8,51,89%,6.2,8.4,2.3,123.2,96.3%,SG
16,C,Joel Embiid,"Joel Embiid,Philadelphia 76ers",",",44,Versatile Bigs,No,Philadelphia 76ers,24.4,0.944,0.970,0.026,0.6,23.0,23.6,78,84%,-1.9,15.0,14.0,9,98%,8.0,9.6,2.6,113.8,96.7%,C
21,PG,Kemba Walker,"Kemba Walker,Charlotte Hornets",",",55,Rock Pounders,No,Charlotte Hornets,22.3,0.909,1.007,0.097,2.2,20.3,22.5,15,97%,0.1,12.9,13.1,272,43%,7.4,9.4,2.1,112.9,95.6%,PG
23,SG,Klay Thompson,"Klay Thompson,Golden State Warriors",",",57,Off-Ball Workers,No,Golden State Warriors,18.2,0.994,1.100,0.106,1.9,18.1,20.0,18,96%,0.0,10.4,10.4,219,54%,7.6,9.6,1.9,110.9,95.2%,SG
25,PF,LeBron James,"LeBron James,Cleveland Cavaliers",",",56,Point Forwards,No,Cleveland Cavaliers,25.5,0.930,1.036,0.105,2.7,23.7,26.4,10,98%,0.7,9.3,9.7,414,14%,14.4,16.7,1.9,108.7,94.8%,PF
26,PG,Kyle Lowry,"Kyle Lowry,Toronto Raptors",",",54,Secondary Creators,No,Toronto Raptors,16.4,0.943,1.006,0.063,1.0,15.4,16.4,50,90%,-0.9,10.0,9.5,52,89%,5.4,7.0,1.9,104.6,94.6%,PG
32,SF,Jrue Holiday,"Jrue Holiday,New Orleans Pelicans",",",57,Secondary Creators,No,New Orleans Pelicans,18.7,0.950,0.989,0.039,0.7,17.7,18.5,72,85%,-1.1,14.8,14.3,40,92%,3.0,4.2,1.8,103.4,93.3%,SF
34,SG,DeMar DeRozan,"DeMar DeRozan,Toronto Raptors",",",57,Creators,No,Toronto Raptors,23.2,0.906,0.995,0.090,2.1,21.0,23.1,16,97%,0.3,7.3,6.8,308,36%,13.7,16.2,1.8,102.4,92.9%,SG
27,SF,Otto Porter Jr.,"Otto Porter Jr.,Washington Wizards",",",53,Reluctant Shooters,No,Washington Wizards,13.2,0.994,1.096,0.102,1.3,13.1,14.4,34,93%,-0.6,8.2,9.0,94,80%,4.9,5.4,1.9,100.2,94.4%,SF
38,PF,Dwight Powell,"Dwight Powell,Dallas Mavericks",",",57,Parasitic Bigs,No,Dallas Mavericks,6.7,1.065,1.181,0.116,0.8,7.1,7.9,67,86%,-1.0,8.4,7.5,43,91%,-1.3,0.4,1.8,99.9,92.1%,PF
31,PF,Anthony Tolliver,"Anthony Tolliver,Detroit Pistons",",",54,Stretch Bigs,No,Detroit Pistons,7.1,1.000,1.150,0.150,1.1,7.1,8.1,47,90%,-0.8,7.0,6.1,67,86%,0.0,2.0,1.8,98.3,93.5%,PF
37,SF,Paul George,"Paul George,Oklahoma City Thunder",",",56,Secondary Creators,No,Oklahoma City Thunder,21.8,0.950,1.025,0.074,1.6,20.7,22.3,21,96%,-0.1,10.5,10.8,186,61%,10.2,11.5,1.8,98.1,92.3%,SF
35,C,Steven Adams,"Steven Adams,Oklahoma City Thunder",",",54,Unskilled Bigs,No,Oklahoma City Thunder,12.6,1.060,1.102,0.041,0.5,13.3,13.9,93,81%,-1.3,12.9,12.1,29,94%,0.5,1.8,1.8,96.1,92.7%,C
11,C,Rudy Gobert,"Rudy Gobert,Utah Jazz",",",32,Unskilled Bigs,No,Utah Jazz,11.7,1.048,1.064,0.016,0.2,12.3,12.5,146,70%,-2.7,15.9,15.3,2,100%,-3.6,-2.8,2.9,93.2,97.7%,C
40,C,LaMarcus Aldridge,"LaMarcus Aldridge,San Antonio Spurs",",",54,Post-Up Bigs,No,San Antonio Spurs,21.2,0.973,1.040,0.067,1.4,20.7,22.1,29,94%,-0.3,14.0,13.6,138,71%,6.6,8.5,1.7,92.7,91.7%,C
36,PF,Trey Lyles,"Trey Lyles,Denver Nuggets",",",52,Pick and Pop Bigs,No,Denver Nuggets,10.0,0.992,1.104,0.112,1.1,9.9,11.0,43,91%,-0.7,6.0,5.6,82,83%,3.9,5.4,1.8,92.0,92.5%,PF
43,SG,Kyle Korver,"Kyle Korver,Cleveland Cavaliers",",",56,Off-Ball Workers,No,Cleveland Cavaliers,7.7,0.975,1.169,0.194,1.5,7.5,9.0,26,95%,-0.1,6.5,6.3,182,62%,1.0,2.8,1.6,91.7,91.0%,SG
33,C,Montrezl Harrell,"Montrezl Harrell,Los Angeles Clippers",",",50,Post-Up Bigs,No,Los Angeles Clippers,7.8,1.030,1.161,0.131,1.0,8.1,9.1,49,90%,-0.8,5.6,5.8,65,86%,2.4,3.3,1.8,90.3,93.1%,C
29,C,Kevin Love,"Kevin Love,Cleveland Cavaliers",",",48,Versatile Bigs,No,Cleveland Cavaliers,16.0,0.993,1.099,0.106,1.7,15.9,17.6,19,96%,-0.1,9.8,10.4,185,61%,6.1,7.2,1.8,88.0,94.0%,C
30,SG,Tyreke Evans,"Tyreke Evans,Memphis Grizzlies",",",48,Creators,No,Memphis Grizzlies,19.4,0.924,0.992,0.068,1.3,17.9,19.3,35,93%,-0.5,7.4,6.7,103,79%,10.5,12.5,1.8,87.6,93.8%,SG
19,C,Hassan Whiteside,"Hassan Whiteside,Miami Heat",",",39,Post-Up Bigs,No,Miami Heat,13.7,1.009,1.032,0.023,0.3,13.8,14.1,120,75%,-1.9,11.4,11.6,11,98%,2.4,2.5,2.2,85.9,96.0%,C
48,SG,Bradley Beal,"Bradley Beal,Washington Wizards",",",57,Secondary Creators,No,Washington Wizards,22.9,0.938,1.006,0.068,1.6,21.5,23.1,22,95%,0.1,10.2,10.2,258,46%,11.3,12.9,1.5,85.3,90.0%,SG
51,C,Jakob Poeltl,"Jakob Poeltl,Toronto Raptors",",",57,Unskilled Bigs,No,Toronto Raptors,6.2,1.076,1.111,0.035,0.2,6.6,6.8,142,70%,-1.2,7.8,7.8,31,94%,-1.1,-1.0,1.5,82.7,89.4%,C
53,PF,Davis Bertans,"Davis Bertans,San Antonio Spurs",",",55,Stretch Bigs,No,San Antonio Spurs,5.8,1.004,1.090,0.086,0.5,5.9,6.4,95,80%,-0.9,4.9,4.0,47,90%,1.0,2.4,1.4,78.8,89.0%,PF
44,PF,Kristaps Porzingis,"Kristaps Porzingis,New York Knicks",",",49,Versatile Bigs,No,New York Knicks,22.5,0.969,0.981,0.012,0.3,21.8,22.1,131,73%,-1.3,12.1,12.2,25,95%,9.7,9.9,1.6,78.4,90.8%,PF
47,PG,Darren Collison,"Darren Collison,Indiana Pacers",",",52,Distributors,No,Indiana Pacers,11.7,0.946,1.077,0.132,1.5,11.1,12.6,25,95%,0.0,9.3,9.1,247,49%,1.8,3.5,1.5,78.3,90.2%,PG
49,PF,Marvin Williams,"Marvin Williams,Charlotte Hornets",",",53,Stretch Bigs,No,Charlotte Hornets,8.4,1.022,1.124,0.102,0.9,8.5,9.4,61,87%,-0.6,8.6,7.7,87,82%,0.0,1.7,1.5,77.7,89.8%,PF
54,C,David West,"David West,Golden State Warriors",",",54,Versatile Bigs,No,Golden State Warriors,6.6,1.002,1.079,0.076,0.5,6.6,7.1,94,80%,-0.9,6.5,6.7,48,90%,0.2,0.4,1.4,77.3,88.8%,C
62,PF,Joe Ingles,"Joe Ingles,Utah Jazz",",",58,Glue Guys,No,Utah Jazz,10.4,0.955,1.043,0.088,0.9,10.0,10.9,57,88%,-0.4,9.4,9.3,128,73%,0.5,1.6,1.3,73.7,87.1%,PF
60,SG,Jeremy Lamb,"Jeremy Lamb,Charlotte Hornets",",",56,Distributors,No,Charlotte Hornets,13.4,0.940,0.997,0.057,0.8,12.6,13.3,68,86%,-0.5,8.4,7.6,97,80%,4.1,5.8,1.3,73.1,87.5%,SG
55,SF,Kyle Anderson,"Kyle Anderson,San Antonio Spurs",",",51,Reluctant Shooters,No,San Antonio Spurs,8.6,0.979,0.948,-0.032,-0.3,8.4,8.2,261,46%,-1.7,7.6,6.8,17,96%,0.8,1.3,1.4,72.6,88.5%,SF
64,SF,Josh Richardson,"Josh Richardson,Miami Heat",",",58,Glue Guys,No,Miami Heat,13.7,0.946,0.970,0.024,0.3,12.9,13.2,118,75%,-0.9,11.1,10.6,56,88%,1.8,2.6,1.2,70.1,86.7%,SF
50,C,DeMarcus Cousins,"DeMarcus Cousins,New Orleans Pelicans",",",48,Versatile Bigs,No,New Orleans Pelicans,26.6,0.956,0.939,-0.018,-0.5,25.4,25.0,312,35%,-1.9,15.4,15.0,10,98%,10.1,10.0,1.5,69.9,89.6%,C
41,SG,Andre Roberson,"Andre Roberson,Oklahoma City Thunder",",",39,Bigs-with-Touch,No,Oklahoma City Thunder,5.4,1.067,0.928,-0.139,-0.7,5.7,5.0,378,21%,-2.4,9.5,8.5,3,99%,-3.8,-3.5,1.7,66.5,91.5%,SG
68,PF,Darius Miller,"Darius Miller,New Orleans Pelicans",",",57,Spot-Up Wings,No,New Orleans Pelicans,6.9,0.971,1.173,0.201,1.4,6.7,8.1,33,93%,0.3,6.3,5.9,300,38%,0.4,2.2,1.1,64.4,85.8%,PF
72,C,Aron Baynes,"Aron Baynes,Boston Celtics",",",59,Roll-and-Cut Bigs,No,Boston Celtics,6.7,1.017,0.841,-0.175,-1.2,6.8,5.7,440,8%,-2.3,7.5,6.8,6,99%,-0.7,-1.1,1.1,63.3,85.0%,C
66,PF,Serge Ibaka,"Serge Ibaka,Toronto Raptors",",",52,Pick and Pop Bigs,No,Toronto Raptors,12.1,1.024,1.052,0.028,0.3,12.4,12.8,114,76%,-0.8,8.4,8.7,60,88%,4.1,4.1,1.2,61.7,86.3%,PF
70,PG,Lou Williams,"Lou Williams,Los Angeles Clippers",",",55,Distributors,No,Los Angeles Clippers,22.3,0.920,1.018,0.098,2.2,20.6,22.7,14,97%,1.1,8.1,7.0,451,6%,12.5,15.7,1.1,61.6,85.4%,PG
46,PF,Luc Mbah a Moute,"Luc Mbah a Moute,Houston Rockets",",",40,Stretch Bigs,No,Houston Rockets,7.7,1.006,0.977,-0.029,-0.2,7.7,7.5,247,49%,-1.8,8.5,8.2,15,97%,-0.8,-0.7,1.5,61.3,90.4%,PF
58,SG,Delon Wright,"Delon Wright,Toronto Raptors",",",45,Distributors,No,Toronto Raptors,8.4,0.947,1.003,0.055,0.5,8.0,8.4,103,79%,-0.9,6.3,5.3,55,89%,1.6,3.2,1.4,61.2,87.9%,SG
67,C,John Henson,"John Henson,Milwaukee Bucks",",",52,Roll-and-Cut Bigs,No,Milwaukee Bucks,8.6,1.069,1.031,-0.037,-0.3,9.2,8.9,272,43%,-1.5,10.2,10.2,22,95%,-1.0,-1.3,1.2,60.4,86.0%,C
77,PG,Tyus Jones,"Tyus Jones,Minnesota Timberwolves",",",60,Glue Guys,No,Minnesota Timberwolves,5.0,0.952,0.974,0.022,0.1,4.8,4.9,161,66%,-0.9,6.0,5.7,57,88%,-1.2,-0.8,1.0,58.2,84.0%,PG
52,C,Dewayne Dedmon,"Dewayne Dedmon,Atlanta Hawks",",",40,Bigs-with-Touch,No,Atlanta Hawks,9.2,1.025,1.092,0.068,0.6,9.5,10.1,81,83%,-0.8,9.2,8.6,62,87%,0.3,1.5,1.4,57.9,89.2%,C
57,C,Myles Turner,"Myles Turner,Indiana Pacers",",",42,Parasitic Bigs,No,Indiana Pacers,13.3,1.013,1.014,0.001,0.0,13.5,13.5,183,62%,-1.4,10.3,10.2,23,95%,3.2,3.3,1.4,57.9,88.1%,C
69,C,Salah Mejri,"Salah Mejri,Dallas Mavericks",",",51,Unskilled Bigs,No,Dallas Mavericks,3.5,1.016,1.080,0.064,0.2,3.5,3.7,140,71%,-0.9,5.6,5.7,54,89%,-2.1,-2.0,1.1,57.3,85.6%,C
65,SF,CJ Miles,"CJ Miles,Toronto Raptors",",",47,Spot-Up Wings,No,Toronto Raptors,9.3,0.986,1.094,0.108,1.0,9.1,10.1,51,89%,-0.2,4.3,3.7,167,65%,4.9,6.5,1.2,55.8,86.5%,SF
71,PG,Eric Gordon,"Eric Gordon,Houston Rockets",",",51,Secondary Creators,No,Houston Rockets,18.1,0.953,1.016,0.063,1.1,17.2,18.4,42,91%,0.1,6.5,5.6,254,47%,10.7,12.7,1.1,55.5,85.2%,PG
82,C,Kyle O'Quinn,"Kyle O'Quinn,New York Knicks",",",57,Bigs-with-Touch,No,New York Knicks,6.6,0.991,0.995,0.004,0.0,6.5,6.6,177,63%,-0.9,7.1,6.8,53,89%,-0.6,-0.3,0.9,53.1,82.9%,C
42,F,Nikola Mirotic,"Nikola Mirotic,New Orleans Pelicans",",",31,Versatile Bigs,No,New Orleans Pelicans,15.1,0.978,1.081,0.103,1.6,14.8,16.4,23,95%,-0.1,3.8,3.8,183,62%,11.0,12.5,1.7,52.5,91.3%,F
80,C,Derrick Favors,"Derrick Favors,Utah Jazz",",",55,Parasitic Bigs,No,Utah Jazz,11.9,1.075,1.044,-0.031,-0.4,12.8,12.4,283,41%,-1.3,10.1,10.0,28,94%,2.7,2.4,0.9,51.6,83.3%,C
74,C,Ekpe Udoh,"Ekpe Udoh,Utah Jazz",",",49,Unskilled Bigs,No,Utah Jazz,3.0,1.062,1.083,0.020,0.1,3.1,3.2,171,64%,-1.0,6.5,6.2,44,91%,-3.4,-3.0,1.0,50.4,84.6%,C
83,PG,Fred VanVleet,"Fred VanVleet,Toronto Raptors",",",54,Distributors,No,Toronto Raptors,8.1,0.943,0.995,0.053,0.4,7.6,8.1,104,78%,-0.5,6.7,6.6,104,78%,1.0,1.5,0.9,49.9,82.7%,PG
75,SG,JJ Redick,"JJ Redick,Philadelphia 76ers",",",44,Off-Ball Workers,No,Philadelphia 76ers,15.3,0.966,1.076,0.110,1.7,14.7,16.4,20,96%,0.7,7.9,7.8,404,16%,6.8,8.6,1.0,44.6,84.4%,SG
76,SF,Reggie Bullock,"Reggie Bullock,Detroit Pistons",",",42,Spot-Up Wings,No,Detroit Pistons,8.1,1.010,1.184,0.174,1.4,8.2,9.6,30,94%,0.4,8.1,8.0,343,29%,0.1,1.7,1.0,42.5,84.2%,SF
90,PG,Ben Simmons,"Ben Simmons,Philadelphia 76ers",",",54,Creators,Yes,Philadelphia 76ers,18.9,0.918,0.869,-0.049,-0.9,17.3,16.4,411,14%,-1.7,12.1,11.1,16,97%,5.2,5.3,0.8,42.1,81.3%,PG
79,PF,Larry Nance,"Larry Nance,Cleveland Cavaliers",",",42,Roll-and-Cut Bigs,No,Cleveland Cavaliers,7.9,1.042,1.072,0.030,0.2,8.3,8.5,134,72%,-0.7,8.4,8.4,74,85%,-0.1,0.1,1.0,40.0,83.5%,PF
84,SF,Trevor Ariza,"Trevor Ariza,Houston Rockets",",",44,Spot-Up Wings,No,Houston Rockets,11.0,0.998,1.083,0.085,0.9,10.9,11.9,55,89%,0.0,8.8,8.8,244,49%,2.1,3.0,0.9,39.4,82.5%,SF
95,SF,OG Anunoby,"OG Anunoby,Toronto Raptors",",",57,Stretch Bigs,Yes,Toronto Raptors,5.9,1.022,1.012,-0.010,-0.1,6.0,5.9,210,56%,-0.7,6.9,6.5,68,86%,-0.9,-0.5,0.7,39.3,80.2%,SF
88,SG,Tomas Satoransky,"Tomas Satoransky,Washington Wizards",",",48,Glue Guys,No,Washington Wizards,5.8,0.953,1.047,0.094,0.5,5.5,6.0,91,81%,-0.3,5.9,6.0,144,70%,-0.4,0.0,0.8,39.1,81.7%,SG
94,SG,Donovan Mitchell,"Donovan Mitchell,Utah Jazz",",",55,Distributors,No,Utah Jazz,20.5,0.928,0.945,0.017,0.3,19.1,19.4,113,76%,-0.4,10.2,9.5,129,73%,8.9,9.9,0.7,38.4,80.4%,SG
86,SF,Omri Casspi,"Omri Casspi,Golden State Warriors",",",45,Bigs-with-Touch,No,Golden State Warriors,5.4,1.030,1.106,0.076,0.4,5.6,6.0,106,78%,-0.4,4.3,4.2,115,76%,1.3,1.8,0.8,37.3,82.1%,SF
96,PF,Tobias Harris,"Tobias Harris,Los Angeles Clippers",",",54,Glue Guys,No,Los Angeles Clippers,17.1,0.968,1.044,0.076,1.3,16.5,17.8,36,93%,0.6,5.8,5.9,391,19%,10.8,11.9,0.7,36.9,80.0%,PF
93,PG,Shabazz Napier,"Shabazz Napier,Portland Trail Blazers",",",51,Distributors,No,Portland Trail Blazers,9.4,0.922,0.990,0.068,0.6,8.7,9.3,80,83%,-0.1,7.9,8.0,201,58%,0.8,1.3,0.7,36.3,80.6%,PG
92,SG,Danny Green,"Danny Green,San Antonio Spurs",",",48,Spot-Up Wings,No,San Antonio Spurs,9.4,0.977,0.918,-0.059,-0.6,9.2,8.6,332,31%,-1.3,8.8,8.1,27,94%,0.4,0.5,0.8,36.1,80.8%,SG
99,PG,Terry Rozier III,"Terry Rozier III,Boston Celtics",",",59,Secondary Creators,No,Boston Celtics,10.7,0.940,0.954,0.013,0.1,10.0,10.2,152,68%,-0.5,8.5,8.1,108,78%,1.6,2.1,0.6,35.9,79.4%,PG
73,C,Nikola Vucevic,"Nikola Vucevic,Orlando Magic",",",34,Versatile Bigs,No,Orlando Magic,17.4,1.014,0.981,-0.033,-0.6,17.6,17.1,341,29%,-1.6,13.7,13.4,19,96%,4.0,3.6,1.0,35.1,84.8%,C
22,SF,Danilo Gallinari,"Danilo Gallinari,Los Angeles Clippers",",",18,Glue Guys,No,Los Angeles Clippers,15.5,0.978,1.018,0.039,0.6,15.2,15.8,84,83%,-1.3,9.3,8.3,24,95%,5.9,7.5,2.0,35.2,95.4%,SF
97,SF,Robert Covington,"Robert Covington,Philadelphia 76ers",",",53,Spot-Up Wings,No,Philadelphia 76ers,13.3,0.992,0.959,-0.033,-0.4,13.2,12.8,304,37%,-1.1,11.1,11.3,38,92%,2.1,1.5,0.7,35.0,79.8%,SF
103,PF,Taj Gibson,"Taj Gibson,Minnesota Timberwolves",",",60,Roll-and-Cut Bigs,No,Minnesota Timberwolves,11.1,1.051,1.094,0.043,0.5,11.6,12.1,101,79%,-0.1,11.7,11.4,191,60%,-0.1,0.7,0.6,34.5,78.5%,PF
63,C,Dakari Johnson,"Dakari Johnson,Oklahoma City Thunder",",",26,Roll-and-Cut Bigs,Yes,Oklahoma City Thunder,1.9,1.041,1.040,-0.001,0.0,2.0,2.0,192,60%,-1.2,2.0,1.2,30,94%,0.0,0.8,1.2,32.1,86.9%,C
113,C,Ed Davis,"Ed Davis,Portland Trail Blazers",",",58,Unskilled Bigs,No,Portland Trail Blazers,5.4,1.058,1.022,-0.035,-0.2,5.7,5.6,237,51%,-0.7,8.1,8.0,73,85%,-2.3,-2.4,0.5,30.3,76.5%,C
91,C,Deyonta Davis,"Deyonta Davis,Memphis Grizzlies",",",39,Parasitic Bigs,No,Memphis Grizzlies,4.5,1.068,1.131,0.062,0.3,4.8,5.1,128,73%,-0.5,4.6,4.5,106,78%,0.2,0.6,0.8,29.8,81.0%,C
111,C,John Collins,"John Collins,Atlanta Hawks",",",53,Unskilled Bigs,Yes,Atlanta Hawks,9.5,1.052,1.067,0.015,0.1,10.0,10.2,151,69%,-0.4,9.0,9.0,118,75%,1.0,1.2,0.5,28.9,76.9%,C
104,SF,Andre Iguodala,"Andre Iguodala,Golden State Warriors",",",49,Reluctant Shooters,No,Golden State Warriors,6.4,0.996,0.847,-0.149,-1.0,6.4,5.4,418,13%,-1.5,7.2,6.0,20,96%,-0.8,-0.6,0.6,28.0,78.3%,SF
107,PG,DJ Augustin,"DJ Augustin,Orlando Magic",",",50,Distributors,No,Orlando Magic,8.8,0.925,0.998,0.072,0.6,8.2,8.8,79,84%,0.1,6.7,6.5,266,45%,1.5,2.3,0.6,27.7,77.7%,PG
116,SG,CJ McCollum,"CJ McCollum,Portland Trail Blazers",",",57,Creators,No,Portland Trail Blazers,21.6,0.929,1.001,0.072,1.6,20.1,21.6,24,95%,1.1,10.6,10.6,452,6%,9.5,11.0,0.5,27.7,75.8%,SG
105,C,Zaza Pachulia,"Zaza Pachulia,Golden State Warriors",",",48,Roll-and-Cut Bigs,No,Golden State Warriors,5.8,1.053,1.004,-0.049,-0.3,6.1,5.8,265,45%,-0.9,7.2,7.0,59,88%,-1.1,-1.2,0.6,27.1,78.1%,C
61,SG,Gerald Green,"Gerald Green,Houston Rockets",",",21,Spot-Up Wings,No,Houston Rockets,11.7,0.971,1.098,0.127,1.5,11.3,12.8,27,94%,0.2,6.9,6.7,288,40%,4.5,6.1,1.3,26.9,87.3%,SG
109,PG,Eric Bledsoe,"Eric Bledsoe,Milwaukee Bucks",",",48,Distributors,No,Milwaukee Bucks,18.4,0.933,0.922,-0.011,-0.2,17.2,17.0,238,50%,-0.7,8.1,7.1,69,86%,9.1,9.9,0.5,26.4,77.3%,PG
101,C,Tyson Chandler,"Tyson Chandler,Phoenix Suns",",",42,Unskilled Bigs,No,Phoenix Suns,6.4,1.016,1.007,-0.009,-0.1,6.5,6.5,209,56%,-0.7,12.0,11.2,81,83%,-5.4,-4.7,0.6,25.3,79.0%,C
123,C,Kelly Olynyk,"Kelly Olynyk,Miami Heat",",",54,Pick and Pop Bigs,No,Miami Heat,11.1,0.970,0.992,0.021,0.2,10.7,11.0,136,72%,-0.2,10.1,10.4,161,66%,0.6,0.6,0.4,24.0,74.4%,C
45,PF,Jamil Wilson,"Jamil Wilson,Los Angeles Clippers",",",15,Stretch Bigs,No,Los Angeles Clippers,6.1,1.001,1.154,0.152,0.9,6.1,7.0,56,88%,-0.7,6.3,5.9,79,84%,-0.2,1.1,1.6,23.9,90.6%,PF
102,C,Nene Hilario,"Nene Hilario,Houston Rockets",",",39,Parasitic Bigs,No,Houston Rockets,6.5,1.045,1.079,0.034,0.2,6.8,7.0,138,71%,-0.4,6.9,7.1,125,74%,-0.1,-0.2,0.6,22.6,78.8%,C
100,PF,Luke Babbitt,"Luke Babbitt,Miami Heat",",",37,Stretch Bigs,No,Miami Heat,5.3,0.991,1.153,0.162,0.9,5.2,6.1,59,88%,0.3,5.2,5.2,299,38%,0.1,0.9,0.6,22.4,79.2%,PF
108,PG,Jose Calderon,"Jose Calderon,Cleveland Cavaliers",",",39,Distributors,No,Cleveland Cavaliers,3.7,0.937,1.041,0.104,0.4,3.5,3.9,109,77%,-0.2,4.8,4.6,173,64%,-1.3,-0.7,0.6,21.6,77.5%,PG
110,C,Willie Reed,"Willie Reed,",",",39,Roll-and-Cut Bigs,No,,4.2,1.053,1.182,0.129,0.5,4.5,5.0,90,81%,0.0,4.3,4.3,227,53%,0.2,0.7,0.5,21.3,77.1%,C
