Player,Age,Tm,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,W/L%,playoffs,seed,Share,Rank,got_votes,is_mvp,gp_pct,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total,pra,total_pra,total_prank,pra_rank
Kevin Durant,23,OKC,38.6,8.0,3.5,1.3,1.2,28.0,19.7,0.5,5.2,0.4,0.5,0.9,3.8,2.0,26.2,0.6,31.3,4.6,12.2,11.8,17.5,1.8,2.2,14.0,0.2,5.2,2012,14.0,0.7,1,2,0.7,2.0,1,0,1.0,23.0,18.0,11.0,8.0,6.0,2.0,31.0,13.0,24.0,52.0,57.0,784.5,219.0
Kevin Garnett,26,MIN,40.5,13.4,6.0,1.4,1.6,23.0,18.1,0.5,0.9,0.3,0.5,0.8,2.8,2.4,26.4,0.6,26.4,9.0,15.6,18.8,25.8,1.8,2.8,11.9,0.2,8.7,2003,22.4,0.6,1,4,0.7,2.0,1,0,1.0,35.0,44.0,24.0,25.0,25.0,11.0,60.0,35.0,69.0,103.0,130.0,148.0,9.5
LeBron James,33,CLE,36.9,8.6,9.1,1.4,0.9,27.5,19.3,0.5,5.0,0.4,0.6,0.7,4.2,1.7,28.6,0.6,31.6,8.9,14.0,13.1,44.4,1.9,2.0,16.1,0.2,9.6,2018,20.0,0.6,1,4,0.7,2.0,1,0,1.0,39.0,22.0,49.0,24.0,12.0,27.0,63.0,76.0,34.0,110.0,215.0,3.0,8.0
James Harden,25,HOU,36.8,5.7,7.0,1.9,0.7,27.4,18.1,0.4,6.9,0.4,0.5,0.9,4.0,2.6,26.7,0.6,31.3,7.8,16.4,8.5,34.6,2.6,1.6,14.9,0.3,8.4,2015,15.3,0.7,1,3,0.7,2.0,1,0,1.0,46.0,10.0,45.0,14.0,4.0,15.0,60.0,60.0,14.0,101.0,180.0,24.0,13.0
LeBron James,29,MIA,37.7,6.9,6.3,1.6,0.3,27.1,17.6,0.6,4.0,0.4,0.6,0.8,3.5,1.6,29.3,0.6,31.0,8.0,15.9,11.5,32.0,2.2,0.8,14.4,0.3,8.9,2014,15.1,0.7,1,2,0.7,2.0,1,0,0.9,37.0,21.0,31.0,16.0,11.0,13.0,53.0,44.0,32.0,89.0,141.0,108.0,18.5
Jason Kidd,28,NJN,37.3,7.3,9.9,2.1,0.2,14.7,13.9,0.4,4.4,0.3,0.4,0.8,3.5,1.7,19.1,0.5,22.5,5.4,8.9,10.9,42.5,3.0,0.5,18.7,0.1,5.1,2002,19.5,0.6,1,1,0.7,2.0,1,0,1.0,14.0,15.0,50.0,8.0,10.0,27.0,22.0,77.0,25.0,79.0,176.0,31.0,35.5
Chris Paul,22,NOH,37.6,4.0,11.6,2.7,0.1,21.1,16.1,0.5,3.1,0.4,0.5,0.9,2.5,2.3,28.3,0.6,25.7,8.5,17.8,6.2,52.2,3.9,0.1,12.1,0.3,9.2,2008,18.4,0.7,1,2,0.7,2.0,1,0,1.0,19.0,0.0,54.0,10.0,0.0,25.0,29.0,79.0,0.0,73.0,187.0,17.0,58.5
Kevin Durant,24,OKC,38.5,7.9,4.6,1.4,1.3,28.1,17.7,0.5,4.1,0.4,0.6,0.9,3.5,1.8,28.3,0.6,29.8,7.6,18.9,11.8,21.7,1.9,2.6,13.7,0.3,7.7,2013,15.2,0.7,1,1,0.6,2.0,1,0,1.0,39.0,21.0,13.0,17.0,7.0,7.0,56.0,20.0,28.0,73.0,96.0,377.0,58.5
Tim Duncan,27,SAS,36.6,12.4,3.1,0.9,2.7,22.3,17.1,0.5,0.2,0.2,0.5,0.6,2.7,2.4,27.1,0.5,29.7,5.9,13.1,19.0,17.4,1.3,5.3,11.3,0.2,7.3,2004,19.1,0.7,1,2,0.6,2.0,1,0,0.8,34.0,43.0,8.0,12.0,15.0,3.0,46.0,11.0,58.0,85.0,68.0,628.0,25.0
Kobe Bryant,30,LAL,36.1,5.2,4.9,1.5,0.5,26.8,20.9,0.5,4.1,0.4,0.5,0.9,2.6,2.3,24.4,0.6,32.2,4.9,12.7,8.2,23.8,2.1,1.0,9.7,0.2,4.5,2009,12.1,0.8,1,1,0.6,2.0,1,0,1.0,44.0,3.0,30.0,15.0,4.0,5.0,59.0,35.0,7.0,77.0,129.0,156.0,44.5
Tim Duncan,24,SAS,38.7,12.2,3.0,0.9,2.3,22.2,17.1,0.5,0.3,0.3,0.5,0.6,3.0,3.0,23.8,0.5,28.7,5.9,13.2,17.8,15.3,1.2,4.2,12.5,0.2,5.4,2001,18.4,0.7,1,1,0.6,2.0,1,0,1.0,34.0,42.0,9.0,15.0,18.0,4.0,49.0,13.0,60.0,85.0,75.0,549.5,25.0
Dwyane Wade,27,MIA,38.6,5.0,7.5,2.2,1.3,30.2,22.0,0.5,3.5,0.3,0.5,0.8,3.4,2.3,30.4,0.6,36.2,9.7,14.7,7.8,40.3,3.0,2.8,11.6,0.2,10.7,2009,16.0,0.5,1,5,0.6,3.0,1,0,1.0,39.0,3.0,33.0,30.0,5.0,25.0,69.0,58.0,8.0,75.0,185.0,19.5,51.5
Shaquille O'Neal,29,LAL,36.1,10.7,3.0,0.6,2.0,27.2,18.3,0.6,0.0,0.0,0.6,0.6,2.6,3.0,29.7,0.6,31.8,5.5,13.2,16.3,16.4,0.9,4.1,10.0,0.3,7.0,2002,16.3,0.7,1,3,0.6,3.0,1,0,0.8,30.0,32.0,9.0,10.0,13.0,1.0,40.0,10.0,45.0,71.0,60.0,737.0,69.0
LeBron James,21,CLE,42.5,7.0,6.6,1.6,0.8,31.4,23.1,0.5,4.8,0.3,0.5,0.7,3.3,2.3,28.1,0.6,33.6,9.5,16.3,9.8,32.8,2.0,1.5,10.7,0.2,9.3,2006,16.0,0.6,1,3,0.6,2.0,1,0,1.0,42.0,12.0,33.0,29.0,5.0,26.0,71.0,59.0,17.0,87.0,189.0,11.0,21.5
Kevin Garnett,31,BOS,32.8,9.2,3.4,1.4,1.3,18.8,13.9,0.5,0.2,0.0,0.5,0.8,1.9,2.3,25.3,0.6,25.5,5.5,12.9,16.8,19.9,2.3,3.1,10.8,0.3,7.4,2008,15.3,0.8,1,1,0.5,3.0,1,0,0.9,18.0,31.0,11.0,8.0,7.0,4.0,26.0,15.0,38.0,60.0,56.0,800.5,134.0
Dwight Howard,25,ORL,37.6,14.1,1.4,1.4,2.4,22.9,13.4,0.6,0.1,0.0,0.6,0.6,3.6,3.3,26.1,0.6,27.2,5.0,14.4,21.8,6.8,1.9,4.9,16.2,0.2,4.8,2011,19.3,0.6,1,4,0.5,2.0,1,0,1.0,35.0,44.0,0.0,19.0,26.0,0.0,54.0,0.0,70.0,79.0,54.0,831.0,35.5
Kevin Durant,21,OKC,39.5,7.6,2.8,1.4,1.0,30.1,20.3,0.5,4.3,0.4,0.5,0.9,3.3,2.1,26.2,0.6,32.0,5.8,16.1,11.0,13.5,1.8,1.9,11.7,0.2,5.1,2010,12.8,0.6,1,7,0.5,2.0,1,0,1.0,49.0,21.0,2.0,25.0,14.0,1.0,74.0,3.0,35.0,72.0,80.0,504.5,64.0
Kawhi Leonard,25,SAS,33.4,5.8,3.5,1.8,0.7,25.5,17.7,0.5,5.2,0.4,0.5,0.9,2.1,1.6,27.6,0.6,31.1,6.2,13.6,9.8,18.9,2.7,1.8,9.1,0.3,7.9,2017,11.8,0.7,1,2,0.5,3.0,1,0,0.9,42.0,11.0,17.0,16.0,3.0,7.0,58.0,24.0,14.0,70.0,106.0,310.5,75.5
Kobe Bryant,31,LAL,38.8,5.4,5.0,1.5,0.3,27.0,21.5,0.5,4.1,0.3,0.5,0.8,3.2,2.6,21.9,0.5,32.3,4.0,9.4,7.7,23.8,2.1,0.5,11.4,0.2,3.6,2010,12.2,0.7,1,1,0.5,3.0,1,0,0.9,35.0,1.0,24.0,14.0,2.0,9.0,49.0,33.0,3.0,60.0,115.0,248.0,134.0
Kawhi Leonard,24,SAS,33.1,6.8,2.6,1.8,1.0,21.2,15.1,0.5,4.0,0.4,0.6,0.9,1.5,1.8,26.0,0.6,25.8,6.2,13.7,11.8,13.0,2.8,2.3,7.8,0.3,8.3,2016,12.2,0.8,1,2,0.5,2.0,1,0,0.9,35.0,16.0,6.0,8.0,3.0,2.0,43.0,8.0,19.0,57.0,59.0,753.5,169.5
LeBron James,31,CLE,35.6,7.4,6.8,1.4,0.6,25.3,18.6,0.5,3.7,0.3,0.6,0.7,3.3,1.9,27.5,0.6,31.4,7.6,13.6,11.8,36.0,2.0,1.5,13.2,0.2,9.1,2016,16.2,0.7,1,1,0.5,3.0,1,0,0.9,35.0,8.0,39.0,17.0,4.0,9.0,52.0,48.0,12.0,82.0,148.0,92.5,30.0
Shaquille O'Neal,28,LAL,39.5,12.7,3.7,0.6,2.8,28.7,19.2,0.6,0.0,0.0,0.6,0.5,2.9,3.5,30.2,0.6,31.6,6.8,14.9,18.1,18.8,0.8,4.9,10.5,0.2,7.3,2001,19.8,0.7,1,2,0.5,3.0,1,0,0.9,30.0,43.0,11.0,17.0,19.0,6.0,47.0,17.0,62.0,84.0,81.0,497.5,27.5
Anthony Davis,24,NOP,36.4,11.1,2.3,1.5,2.6,28.1,19.5,0.5,2.2,0.3,0.6,0.8,2.2,2.1,28.9,0.6,30.0,4.9,13.7,16.5,10.8,2.0,5.6,8.6,0.2,5.2,2018,17.5,0.6,1,6,0.4,3.0,1,0,0.9,32.0,24.0,1.0,16.0,14.0,0.0,48.0,1.0,38.0,57.0,50.0,892.5,169.5
Dirk Nowitzki,27,DAL,38.1,9.0,2.8,0.7,1.0,26.6,19.3,0.5,3.3,0.4,0.5,0.9,1.9,2.0,28.1,0.6,30.0,6.0,17.7,14.2,14.7,1.0,2.1,7.9,0.3,5.7,2006,13.5,0.7,1,2,0.4,3.0,1,0,1.0,44.0,26.0,8.0,15.0,13.0,5.0,59.0,13.0,39.0,78.0,85.0,454.0,40.5
LeBron James,26,MIA,38.8,7.5,7.0,1.6,0.6,26.7,18.8,0.5,3.5,0.3,0.5,0.8,3.6,2.1,27.3,0.6,31.5,8.2,15.6,11.4,34.9,2.1,1.3,13.8,0.2,8.6,2011,16.7,0.7,1,2,0.4,3.0,1,0,1.0,25.0,12.0,41.0,13.0,8.0,15.0,38.0,56.0,20.0,78.0,150.0,83.5,40.5
LeBron James,30,CLE,36.1,6.0,7.4,1.6,0.7,25.3,18.5,0.5,4.9,0.4,0.5,0.7,3.9,2.0,25.9,0.6,32.3,5.9,10.4,9.6,38.6,2.3,1.6,15.3,0.2,7.4,2015,15.7,0.6,1,2,0.4,3.0,1,0,0.8,28.0,7.0,38.0,7.0,0.0,10.0,35.0,48.0,7.0,73.0,131.0,142.5,58.5
Jermaine O'Neal,25,IND,35.7,10.0,2.1,0.8,2.6,20.1,17.9,0.4,0.2,0.1,0.4,0.8,2.3,3.2,21.1,0.5,30.2,2.7,9.0,16.5,12.3,1.2,5.5,10.1,0.2,1.8,2004,15.5,0.7,1,1,0.4,3.0,1,0,1.0,27.0,34.0,3.0,13.0,11.0,1.0,40.0,4.0,45.0,64.0,48.0,933.5,101.5
Chris Webber,27,SAC,40.5,11.1,4.2,1.3,1.7,27.1,23.4,0.5,0.4,0.1,0.5,0.7,2.8,3.2,24.7,0.5,31.6,4.9,11.0,14.8,20.6,1.7,2.8,9.6,0.2,4.9,2001,18.3,0.7,1,3,0.4,4.0,1,0,0.9,38.0,34.0,14.0,15.0,15.0,6.0,53.0,20.0,49.0,86.0,93.0,394.5,23.0
Kobe Bryant,24,LAL,41.5,6.9,5.9,2.2,0.8,30.0,23.5,0.5,4.0,0.4,0.5,0.8,3.5,2.7,26.2,0.6,32.9,7.1,14.9,9.3,27.2,2.8,1.4,11.4,0.2,6.4,2003,15.8,0.6,1,5,0.4,3.0,1,0,1.0,27.0,10.0,23.0,20.0,4.0,19.0,47.0,42.0,14.0,60.0,131.0,142.5,134.0
Kobe Bryant,28,LAL,40.8,5.7,5.4,1.4,0.5,31.6,22.8,0.5,5.2,0.3,0.5,0.9,3.3,2.7,26.1,0.6,33.6,5.3,13.0,8.2,25.5,1.8,0.9,10.9,0.2,4.7,2007,13.0,0.5,1,7,0.4,3.0,1,0,0.9,31.0,7.0,19.0,36.0,7.0,23.0,67.0,42.0,14.0,57.0,151.0,81.5,169.5
Carmelo Anthony,28,NYK,37.0,6.9,2.6,0.8,0.5,28.7,22.2,0.4,6.2,0.4,0.5,0.8,2.6,3.1,24.8,0.6,35.6,2.8,9.5,10.8,14.1,1.1,1.1,9.3,0.2,2.4,2013,10.8,0.7,1,2,0.4,3.0,1,0,0.8,37.0,13.0,2.0,15.0,4.0,3.0,52.0,5.0,17.0,52.0,62.0,713.5,219.0
Dwight Howard,24,ORL,34.7,13.2,1.8,0.9,2.8,18.3,10.2,0.6,0.1,0.0,0.6,0.6,3.3,3.5,24.0,0.6,23.9,5.4,13.2,22.0,8.7,1.4,6.0,18.7,0.2,5.5,2010,18.7,0.7,1,2,0.4,4.0,1,0,1.0,26.0,48.0,3.0,9.0,20.0,0.0,35.0,3.0,68.0,77.0,41.0,1121.0,44.5
Kobe Bryant,27,LAL,41.0,5.3,4.5,1.8,0.4,35.4,27.2,0.5,6.5,0.3,0.5,0.8,3.1,2.9,28.0,0.6,38.7,6.5,15.3,7.6,24.1,2.4,0.7,9.0,0.2,5.8,2006,12.0,0.5,1,6,0.4,4.0,1,0,1.0,44.0,4.0,13.0,31.0,2.0,14.0,75.0,27.0,6.0,61.0,129.0,156.0,126.5
Russell Westbrook,27,OKC,34.4,7.8,10.4,2.0,0.3,23.5,18.1,0.5,4.3,0.3,0.5,0.8,4.3,2.5,27.6,0.6,31.6,8.3,14.0,12.4,49.6,2.9,0.6,16.8,0.2,10.0,2016,20.5,0.7,1,3,0.4,4.0,1,0,1.0,14.0,17.0,48.0,8.0,5.0,22.0,22.0,70.0,22.0,79.0,162.0,52.0,35.5
Tracy McGrady,23,ORL,39.4,6.5,5.5,1.7,0.8,32.1,24.2,0.5,6.0,0.4,0.5,0.8,2.6,2.1,30.3,0.6,35.2,8.7,16.1,9.5,30.0,2.2,1.5,8.4,0.3,9.7,2003,14.5,0.5,1,7,0.4,4.0,1,0,0.9,37.0,13.0,22.0,32.0,12.0,18.0,69.0,40.0,25.0,72.0,149.0,87.5,64.0
Kobe Bryant,32,LAL,33.9,5.1,4.7,1.2,0.1,25.3,20.0,0.5,4.3,0.3,0.5,0.8,3.0,2.1,23.9,0.5,35.1,4.1,10.3,8.5,26.7,1.9,0.3,11.4,0.2,3.8,2011,11.1,0.7,1,2,0.4,4.0,1,0,1.0,40.0,1.0,25.0,19.0,0.0,13.0,59.0,38.0,1.0,66.0,135.0,127.0,95.5
James Harden,29,HOU,37.3,6.5,7.5,2.1,0.7,36.2,24.6,0.4,13.4,0.4,0.5,0.9,5.2,3.3,29.9,0.6,40.4,9.3,13.9,9.8,39.1,2.8,1.7,15.0,0.2,10.9,2019,16.8,0.6,1,3,0.4,2.0,1,0,0.9,36.0,9.0,21.0,22.0,7.0,15.0,58.0,36.0,16.0,66.0,130.0,148.0,95.5
LeBron James,23,CLE,40.4,7.9,7.2,1.8,1.1,30.0,21.9,0.5,4.8,0.3,0.5,0.7,3.4,2.2,29.1,0.6,33.5,10.1,15.2,11.1,37.3,2.4,2.1,11.4,0.2,11.2,2008,18.0,0.5,1,4,0.3,4.0,1,0,0.9,40.0,8.0,39.0,26.0,7.0,23.0,66.0,62.0,15.0,87.0,190.0,9.0,21.5
Blake Griffin,24,LAC,35.8,9.5,3.9,1.2,0.6,24.1,17.0,0.5,0.6,0.3,0.5,0.7,2.8,3.3,23.9,0.6,29.0,4.8,12.2,14.7,19.2,1.6,1.4,11.9,0.2,4.6,2014,15.2,0.7,1,3,0.3,3.0,1,0,1.0,26.0,13.0,2.0,15.0,5.0,3.0,41.0,5.0,18.0,41.0,51.0,873.0,396.5
Chauncey Billups,29,DET,36.1,3.1,8.6,0.9,0.1,18.5,12.5,0.4,5.2,0.4,0.5,0.9,2.1,2.0,23.4,0.6,22.9,4.9,15.5,5.1,39.3,1.3,0.2,12.0,0.3,4.7,2006,12.7,0.8,1,1,0.3,5.0,1,0,1.0,24.0,0.0,53.0,7.0,0.0,14.0,31.0,67.0,0.0,77.0,165.0,45.0,44.5
Kevin Garnett,23,MIN,40.0,11.8,5.0,1.5,1.6,22.9,18.8,0.5,1.0,0.4,0.5,0.8,3.3,2.5,23.6,0.5,27.4,6.6,11.6,17.1,21.5,1.9,2.8,13.6,0.2,6.1,2000,19.9,0.6,1,6,0.3,2.0,1,0,1.0,30.0,41.0,4.0,20.0,25.0,5.0,50.0,9.0,66.0,75.0,68.0,628.0,51.5
LeBron James,32,CLE,37.8,8.6,8.7,1.2,0.6,26.4,18.2,0.5,4.6,0.4,0.6,0.7,4.1,1.8,27.0,0.6,30.0,7.3,12.9,12.6,41.3,1.6,1.3,16.1,0.2,8.4,2017,19.1,0.6,1,2,0.3,4.0,1,0,0.9,25.0,11.0,37.0,15.0,9.0,20.0,40.0,57.0,20.0,73.0,154.0,71.5,58.5
Chris Paul,26,LAC,36.4,3.6,9.1,2.5,0.1,19.8,14.8,0.5,3.6,0.4,0.5,0.9,2.1,2.3,27.0,0.6,24.3,5.4,12.7,5.8,43.8,3.8,0.2,10.8,0.3,7.9,2012,15.3,0.6,1,5,0.3,3.0,1,0,0.9,15.0,0.0,25.0,1.0,0.0,18.0,16.0,43.0,0.0,40.0,102.0,334.5,417.0
