Player,Age,Tm,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,W/L%,playoffs,seed,Share,Rank,got_votes,is_mvp,gp_pct
Paul Pierce,37,WAS,26.2,4.0,2.0,0.6,0.3,11.9,9.0,0.4,4.2,0.4,0.5,0.8,1.3,2.2,15.2,0.6,19.9,1.7,5.5,8.7,11.9,1.2,1.0,10.9,0.1,1.5,2015,6.9,0.6,1,5,0.0,,0,0,0.9
Zach Randolph,33,MEM,32.5,10.5,2.2,1.0,0.2,16.1,13.1,0.5,0.3,0.3,0.5,0.8,2.2,2.5,19.5,0.5,24.3,2.0,7.2,18.5,11.4,1.6,0.5,12.8,0.1,1.5,2015,13.9,0.7,1,5,0.0,,0,0,0.9
J.J. Redick,30,LAC,30.9,2.1,1.8,0.5,0.1,16.4,12.0,0.5,5.9,0.4,0.6,0.9,1.2,1.7,16.2,0.6,21.0,1.6,6.7,3.9,9.0,0.8,0.3,8.5,0.1,0.7,2015,4.5,0.7,1,2,0.0,,0,0,1.0
Derrick Rose,26,CHI,30.0,3.2,4.9,0.7,0.3,17.7,16.4,0.4,5.3,0.3,0.5,0.8,3.2,1.2,15.9,0.5,31.7,0.3,1.2,5.7,30.7,1.2,0.8,14.9,0.0,-1.3,2015,9.1,0.6,1,3,0.0,,0,0,0.6
Terrence Ross,23,TOR,25.5,2.8,1.0,0.6,0.3,9.8,9.2,0.4,4.8,0.4,0.5,0.8,0.8,1.7,11.2,0.5,18.3,0.2,2.4,6.2,6.5,1.3,1.0,8.1,0.1,-1.6,2015,4.7,0.6,1,4,0.0,,0,0,1.0
Ricky Rubio,24,MIN,31.5,5.7,8.8,1.7,0.0,10.3,10.0,0.4,2.3,0.3,0.4,0.8,2.9,2.7,15.2,0.5,20.0,0.3,0.5,10.3,43.5,2.8,0.1,20.4,0.0,-0.5,2015,16.2,0.2,0,15,0.0,,0,0,0.3
Marcus Smart,20,BOS,27.0,3.3,3.1,1.5,0.3,7.8,7.1,0.4,4.1,0.3,0.5,0.6,1.3,2.6,11.0,0.5,15.1,1.4,2.9,6.7,16.3,2.7,0.8,14.4,0.1,1.1,2015,8.2,0.5,1,7,0.0,,0,0,0.8
Lance Stephenson,24,CHO,25.8,4.5,3.9,0.6,0.1,8.2,9.0,0.4,1.7,0.2,0.4,0.6,2.1,2.2,8.8,0.4,21.1,-0.6,-0.9,9.7,25.4,1.2,0.4,17.6,-0.0,-3.5,2015,9.1,0.4,0,11,0.0,,0,0,0.7
Jabari Brown,22,LAL,29.9,1.9,2.1,0.6,0.1,11.9,8.9,0.4,3.3,0.4,0.5,0.8,1.7,1.7,11.0,0.5,18.8,-0.3,0.4,3.5,11.0,1.1,0.3,13.4,0.0,-3.8,2015,4.7,0.3,0,14,0.0,,0,0,0.2
Chris Bosh,30,MIA,35.4,7.0,2.2,0.9,0.6,21.1,16.9,0.5,3.8,0.4,0.5,0.8,2.2,1.6,19.8,0.5,28.4,0.8,3.6,12.0,12.0,1.4,1.4,10.1,0.1,-0.1,2015,10.7,0.5,0,10,0.0,,0,0,0.5
