player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
Salah Mejri,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0
Jerami Grant,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Tyler Cavanaugh,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Jordan Mickey,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Zach Collins,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Thabo Sefolosha,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Josh Huestis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Willie Reed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Al Jefferson,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Wesley Johnson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Arron Afflalo,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
Miles Plumlee,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Nerlens Noel,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,5.0
Dorian Finney-Smith,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Willy Hernangomez,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0
Maxi Kleber,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
Jabari Parker,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
J.R. Smith,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Gary Payton,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Rajon Rondo,0.0,0.0,21.0,0.0,0.0,10.0,0.0,31.0,0.0
D.J. Augustin,0.0,0.0,8.0,2.0,0.0,14.0,2.0,22.0,0.0
Tyus Jones,0.0,0.0,6.0,0.0,0.0,3.0,0.0,9.0,0.0
Milos Teodosic,0.0,0.0,6.0,0.0,0.0,4.0,0.0,10.0,0.0
Shelvin Mack,0.0,0.0,5.0,2.0,2.0,12.0,2.0,17.0,2.0
Frank Ntilikina,0.0,0.0,5.0,0.0,0.0,5.0,0.0,10.0,0.0
Mike James,0.0,0.0,4.0,2.0,0.0,6.0,2.0,10.0,0.0
Tyler Ulis,0.0,0.0,4.0,1.0,0.0,16.0,1.0,20.0,0.0
Isaiah Canaan,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0
Matthew Dellavedova,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0
